"","age","age2","female","clase","p6210","relab","p6210s1","college","cotPension","cuentaPropia","estrato1","fex_c","formal","fweight","hoursWorkUsual","inglabo","ingtot","impa","isa","maxEducLevel","mes","microEmpresa","oficio","p6050","p6426","y_ingLab_m","y_ingLab_m_ha","y_salarySec_m","y_salary_m_hu","y_total_m","y_total_m_ha"
"2495",44,1936,1,1,6,4,5,0,2,1,3,218.091600565805,0,218,20,2e+06,2e+06,2e+06,0,7,2,1,45,1,180,NA,NA,NA,NA,2e+06,23333.333984375
"2496",51,2601,0,1,6,4,6,0,3,1,3,263.111380492417,1,263,15,0,4700000,0,0,7,2,1,13,1,84,NA,NA,NA,NA,NA,NA
"2497",25,625,0,1,5,1,11,1,2,0,2,477.465091930284,0,477,20,6e+05,6e+05,6e+05,0,6,2,0,44,1,4,6e+05,7000,NA,7000,6e+05,7000
"2498",27,729,1,1,6,1,5,0,1,0,4,212.089085532888,1,212,48,1562500,1562500,1562500,0,7,2,0,19,3,36,1562500,7595.486328125,NA,7291.66650390625,1562500,7595.486328125
"2499",52,2704,0,1,6,5,2,0,2,0,4,212.089085532888,0,212,48,5e+06,5e+06,5e+06,0,7,2,1,21,1,24,NA,NA,NA,NA,5e+06,24305.5546875
"2500",24,576,0,1,5,4,11,1,2,1,4,212.089085532888,0,212,20,1e+06,1e+06,1e+06,0,6,2,1,98,3,4,NA,NA,NA,NA,1e+06,11666.6669921875
"2501",22,484,0,1,6,4,2,0,2,1,3,221.755412153458,0,222,20,1e+05,1e+05,1e+05,0,7,2,0,97,1,0,NA,NA,NA,NA,1e+05,1166.66662597656
"2502",49,2401,1,1,5,1,11,1,2,0,3,255.783757317111,0,256,90,847908.666666667,2047908.66666667,847908.666666667,0,6,2,1,40,1,36,847908.6875,2198.28173828125,NA,2025.44226074219,847908.6875,2198.28173828125
"2503",54,2916,0,1,3,1,4,0,2,0,3,255.783757317111,0,256,84,781242,1181242,781242,0,3,2,1,45,2,36,781242,2170.11669921875,NA,2170.11669921875,781242,2170.11669921875
"2504",49,2401,1,1,3,1,5,0,2,0,3,255.783757317111,0,256,84,847908.666666667,1247908.66666667,847908.666666667,0,4,2,1,45,9,120,847908.6875,2355.30200195312,NA,2170.11669921875,847908.6875,2355.30200195312
"2505",44,1936,0,1,6,1,7,0,1,0,3,212.089085532888,1,212,48,6208333.33333333,10208333.3333333,6208333.33333333,0,7,2,0,21,1,264,6208333.5,30179.3984375,NA,26736.111328125,6208333.5,30179.3984375
"2506",41,1681,1,1,4,1,9,0,1,0,3,212.089085532888,1,212,48,1259090,1259090,1259090,0,5,2,0,30,2,15,1259090,6120.576171875,NA,5201.388671875,1259090,6120.576171875
"2507",23,529,1,1,6,1,4,0,1,0,3,212.089085532888,1,212,48,7526833.33333333,7526833.33333333,7526833.33333333,0,7,2,0,21,3,14,7526833.5,36588.7734375,NA,34139.58203125,7526833.5,36588.7734375
"2508",19,361,0,1,6,1,2,0,1,0,3,212.089085532888,1,212,35,864166.666666667,864166.666666667,864166.666666667,0,7,2,0,3,3,12,864166.6875,5761.111328125,NA,5466.66650390625,864166.6875,5761.111328125
"2509",49,2401,1,1,6,2,8,0,1,0,3,212.089085532888,1,212,33,2393750,6413750,2393750,0,7,2,0,13,5,30,2393750,16925.505859375,NA,13540.404296875,2393750,16925.505859375
"2510",50,2500,0,1,5,1,11,1,1,0,2,263.988037787675,1,264,48,930286.333333333,930286.333333333,930286.333333333,0,6,2,0,37,1,144,930286.3125,4522.22509765625,NA,3797.7041015625,930286.3125,4522.22509765625
"2511",47,2209,1,1,5,1,11,1,1,0,2,263.988037787675,1,264,40,926119.666666667,926119.666666667,926119.666666667,0,6,2,1,12,2,200,926119.6875,5402.36474609375,NA,4557.2451171875,926119.6875,5402.36474609375
"2512",38,1444,1,1,6,1,7,0,1,0,3,212.15194600022,1,212,24,991119.666666667,991119.666666667,991119.666666667,0,7,2,1,21,1,36,991119.6875,9635.8857421875,NA,7595.408203125,991119.6875,9635.8857421875
"2513",22,484,0,1,5,4,10,1,2,1,2,202.87790354414,0,203,48,350000,350000,350000,0,6,2,1,45,1,12,NA,NA,NA,NA,350000,1701.38891601562
"2514",21,441,0,1,5,1,11,1,1,0,2,202.87790354414,1,203,48,869453,869453,869453,0,6,2,0,87,9,2,869453,4226.5078125,NA,3797.7041015625,869453,4226.5078125
"2515",27,729,0,1,6,1,1,0,1,0,2,242.396357552795,1,242,48,1305311,1305311,1305311,0,7,2,0,3,1,48,1305311,6345.26171875,NA,5347.22216796875,1305311,6345.26171875
